CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,PreviousName_3.CONDATE, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
THE SOCIAL GOODNESS CHARITABLE FOUNDATION LTD,06632673,,,UNIT 20 ONGAR BUSINESS CENTRE,FYFIELD ROAD,ONGAR,ESSEX,UNITED KINGDOM,CM5 0GA,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,27/06/2008,31,12,30/04/2025,31/07/2023,TOTAL EXEMPTION FULL,25/07/2017,27/06/2016,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/06632673,14/08/2023,THE CROWN PARTNERSHIP CHARITABLE FOUNDATION LTD,15/11/2021,THE CROWN GROUP CHARITABLE FOUNDATION LIMITED,,,,,,,,,,,,,,,,,17/06/2027,03/06/2026
THE SOCIAL GROUP HOLDINGS LTD,11913939,,,ENTERPRISE HOUSE GROUND FLOOR,21 OXFORD ROAD,BOURNEMOUTH,,ENGLAND,BH8 8EY,Private Limited Company,Active,United Kingdom,,29/03/2019,31,3,31/12/2027,31/03/2026,MICRO ENTITY,26/04/2020,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/11913939,,,,,,,,,,,,,,,,,,,,,11/04/2027,28/03/2026
THE SOCIAL GROUP LIMITED,11934735,,,C/O 3RD FLOOR,58 OLD COMPTON STREET,LONDON,,ENGLAND,W1D 4UF,Private Limited Company,Active,United Kingdom,,09/04/2019,31,12,30/09/2026,31/12/2024,TOTAL EXEMPTION FULL,07/05/2020,,0,0,0,0,56302 - Public houses and bars,,,,0,0,http://business.data.gov.uk/id/company/11934735,,,,,,,,,,,,,,,,,,,,,21/07/2026,07/07/2025
THE SOCIAL GROVE LIMITED,16339107,,,6 LIME GROVE,,LONDON,,ENGLAND,W12 8HR,Private Limited Company,Active,United Kingdom,,24/03/2025,31,3,24/12/2026,,NO ACCOUNTS FILED,21/04/2026,,0,0,0,0,62012 - Business and domestic software development,,,,0,0,http://business.data.gov.uk/id/company/16339107,,,,,,,,,,,,,,,,,,,,,25/12/2026,11/12/2025
THE SOCIAL GROWTH STUDIO LTD,17117217,,,167-169 GREAT PORTLAND STREET,,LONDON,,ENGLAND,W1W 5PF,Private Limited Company,Active,United Kingdom,,25/03/2026,31,3,25/12/2027,,NO ACCOUNTS FILED,22/04/2027,,0,0,0,0,73110 - Advertising agencies,,,,0,0,http://business.data.gov.uk/id/company/17117217,,,,,,,,,,,,,,,,,,,,,07/04/2027,
THE SOCIAL HATCH LTD,14218264,,,4 EAST COURTYARD ALDERLEY PARK CONGLETON ROAD,NETHER ALDERLEY,MACCLESFIELD,,ENGLAND,SK10 4JS,Private Limited Company,Active,United Kingdom,,06/07/2022,31,7,30/04/2027,31/07/2025,TOTAL EXEMPTION FULL,03/08/2023,,0,0,0,0,70210 - Public relations and communications activities,,,,0,0,http://business.data.gov.uk/id/company/14218264,,,,,,,,,,,,,,,,,,,,,19/07/2027,05/07/2026
THE SOCIAL HAUS LTD,16450060,,,50-52 BRIDGE ROAD,,LITHERLAND,,UNITED KINGDOM,L21 6PH,Private Limited Company,Active,United Kingdom,,14/05/2025,31,5,14/02/2027,,NO ACCOUNTS FILED,11/06/2026,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/16450060,,,,,,,,,,,,,,,,,,,,,27/05/2027,13/05/2026
THE SOCIAL HERITAGE PROJECT LTD,16104754,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,27/11/2024,30,11,31/08/2027,30/11/2025,DORMANT,25/12/2025,,0,0,0,0,59112 - Video production activities,60100 - Radio broadcasting,85520 - Cultural education,85600 - Educational support services,0,0,http://business.data.gov.uk/id/company/16104754,,,,,,,,,,,,,,,,,,,,,10/12/2026,26/11/2025
THE SOCIAL HIVE GROUP LTD,14994033,,,28 CLOUGH GROVE,ASHTON-IN-MAKERFIELD,WIGAN,,ENGLAND,WN4 0LP,Private Limited Company,Active,United Kingdom,,11/07/2023,31,7,30/04/2027,31/07/2025,MICRO ENTITY,08/08/2024,,0,0,0,0,"47410 - Retail sale of computers, peripheral units and software in specialised stores",62020 - Information technology consultancy activities,63120 - Web portals,,0,0,http://business.data.gov.uk/id/company/14994033,,,,,,,,,,,,,,,,,,,,,24/07/2026,10/07/2025
THE SOCIAL HOTLINE LTD,15630562,,,566 2 ENGINEERS WAY,,WEMBLEY,GREATER LONDON,ENGLAND,HA9 0SH,Private Limited Company,Active,United Kingdom,,09/04/2024,30,4,31/01/2027,30/04/2025,TOTAL EXEMPTION FULL,07/05/2025,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/15630562,,,,,,,,,,,,,,,,,,,,,22/04/2027,08/04/2026
THE SOCIAL HOUND CLUB LTD,17208178,,,12 WILLIAM BANFIELD HOUSE,MUNSTER ROAD,FULHAM,,UNITED KINGDOM,SW6 4EU,Private Limited Company,Active,United Kingdom,,08/05/2026,31,3,31/12/2027,,NO ACCOUNTS FILED,05/06/2027,,0,0,0,0,96090 - Other service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/17208178,,,,,,,,,,,,,,,,,,,,,21/05/2027,
THE SOCIAL HOUSING ACADEMY LIMITED,17155972,,,MENTOR HOUSE,AINSWORTH STREET,BLACKBURN,LANCASHIRE,ENGLAND,BB1 6AY,Private Limited Company,Active,United Kingdom,,14/04/2026,30,4,14/01/2028,,NO ACCOUNTS FILED,12/05/2027,,0,0,0,0,70229 - Management consultancy activities other than financial management,85590 - Other education n.e.c.,,,0,0,http://business.data.gov.uk/id/company/17155972,,,,,,,,,,,,,,,,,,,,,27/04/2027,
THE SOCIAL HOUSING CONSULTANCY LTD,05131249,,,16 BOWNESS AVENUE,CHEADLE HULME,CHEADLE,CHESHIRE,,SK8 7HS,Private Limited Company,Active,United Kingdom,,18/05/2004,30,4,31/01/2027,30/04/2025,UNAUDITED ABRIDGED,15/06/2017,18/05/2016,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/05131249,,,,,,,,,,,,,,,,,,,,,01/06/2027,18/05/2026
THE SOCIAL HOUSING FAMILY CIC,11667993,,,MYNYDDISLWYN OFFICES MYNYDDISLWYN OFFICES,PONTLLANFRAITH,BLACKWOOD,,WALES,NP12 2BH,Community Interest Company,Active,United Kingdom,,08/11/2018,31,3,31/12/2026,31/03/2025,TOTAL EXEMPTION FULL,06/12/2019,,0,0,0,0,68201 - Renting and operating of Housing Association real estate,,,,0,0,http://business.data.gov.uk/id/company/11667993,,,,,,,,,,,,,,,,,,,,,21/11/2026,07/11/2025
THE SOCIAL HOUSING LAW ASSOCIATION,05606493,,,PEERSHAWS BURES ROAD,WHITE COLNE,COLCHESTER,ESSEX,ENGLAND,CO6 2QB,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,28/10/2005,31,10,31/07/2027,31/10/2025,TOTAL EXEMPTION FULL,25/11/2016,28/10/2015,0,0,0,0,94120 - Activities of professional membership organizations,,,,0,0,http://business.data.gov.uk/id/company/05606493,,,,,,,,,,,,,,,,,,,,,11/11/2026,28/10/2025
THE SOCIAL HOUSING MANAGEMENT COMPANY LTD,16549046,,,LEON HOUSE MYRTLE GROVE,PRESTWICH,MANCHESTER,,ENGLAND,M25 9XA,Private Limited Company,Active,United Kingdom,,30/06/2025,30,6,31/03/2027,,NO ACCOUNTS FILED,28/07/2026,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/16549046,,,,,,,,,,,,,,,,,,,,,13/07/2027,29/06/2026
THE SOCIAL HOUSING PROGRAMME CIC,15750003,,,19-20 BOURNE COURT,SOUTHEND ROAD,WOODFORD GREEN,ESSEX,ENGLAND,IG8 8HD,Community Interest Company,Active,United Kingdom,,30/05/2024,31,5,29/02/2028,31/05/2026,UNAUDITED ABRIDGED,27/06/2025,,0,0,0,0,68209 - Other letting and operating of own or leased real estate,,,,0,0,http://business.data.gov.uk/id/company/15750003,,,,,,,,,,,,,,,,,,,,,12/06/2027,29/05/2026
THE SOCIAL ID LIMITED,12457076,,4385,12457076: COMPANIES HOUSE DEFAULT ADDRESS,,CARDIFF,,,CF14 8LH,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,11/02/2020,29,2,11/11/2021,,NO ACCOUNTS FILED,11/03/2021,,0,0,0,0,73110 - Advertising agencies,73120 - Media representation services,,,0,0,http://business.data.gov.uk/id/company/12457076,,,,,,,,,,,,,,,,,,,,,24/02/2022,10/02/2021
THE SOCIAL IMPACT INVESTMENT PLATFORM LIMITED,16250911,,,JUBILEE HOUSE,EAST BEACH,LYTHAM ST. ANNES,,ENGLAND,FY8 5FT,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,13/02/2025,28,2,13/11/2026,,NO ACCOUNTS FILED,13/03/2026,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/16250911,,,,,,,,,,,,,,,,,,,,,26/02/2026,
THE SOCIAL IMPACT NETWORK LTD,16903114,,,100 VALENTIA ROAD,HEADINGTON,OXFORD,,ENGLAND,OX3 7PW,Private Limited Company,Active,United Kingdom,,10/12/2025,31,12,10/09/2027,,NO ACCOUNTS FILED,07/01/2027,,0,0,0,0,64209 - Activities of other holding companies n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/16903114,,,,,,,,,,,,,,,,,,,,,23/12/2026,
THE SOCIAL INFLUENCE LIMITED,14404497,,,F2 EAST COURT,ENTERPRISE ROAD,MAIDSTONE,KENT,ENGLAND,ME15 6JF,Private Limited Company,Active,United Kingdom,,07/10/2022,31,10,31/07/2027,31/10/2025,TOTAL EXEMPTION FULL,04/11/2023,,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/14404497,,,,,,,,,,,,,,,,,,,,,20/10/2026,06/10/2025
THE SOCIAL INNOVATION PARTNERSHIP LABS C.I.C.,15357479,,,6TH FLOOR B WAVERLEY HOUSE,7-12 NOEL STREET,LONDON,,UNITED KINGDOM,W1F 8GQ,Community Interest Company,Active,United Kingdom,,18/12/2023,31,12,30/09/2026,31/12/2024,TOTAL EXEMPTION FULL,15/01/2025,,0,0,0,0,70229 - Management consultancy activities other than financial management,,,,0,0,http://business.data.gov.uk/id/company/15357479,,,,,,,,,,,,,,,,,,,,,31/12/2026,17/12/2025
THE SOCIETY FOR THE REDUCTION OF CARBON LIMITED,IP031342,,,,,,,,,Registered Society,Active,United Kingdom,,08/08/2011,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,0,0,http://business.data.gov.uk/id/company/IP031342,,,,,,,,,,,,,,,,,,,,,22/08/2016,
